,Number,First Letter,Estimated_Price,CarPlate,Price,Company,Number of digits,Front Characters,Suffix characters,Total number of characters,Same digit througout,Sub repeated digits,Auspicious,suffix_number,first_letter,Antique,Price Range,Natural_break,number_group
129,10,S,26342.46153846154,SJY10X,15000,Carplate,2,SJY,X,6,0,0,No,4,18,0,12,4,1
130,10,S,26342.46153846154,SGH10X,15000,Carplate,2,SGH,X,6,0,0,No,4,18,0,12,4,1
131,10,S,26342.46153846154,SJY10X,12500,SGCarMart,2,SJY,X,6,0,0,No,4,18,0,11,4,1
132,11,E,263444.0,ES11J,288000,Carplate,2,ES,J,5,1,1,No,13,4,1,24,21,1
133,11,E,263444.0,ES11J,238888,SGCarMart,2,ES,J,5,1,1,No,13,4,1,24,20,1
134,11,F,12554.666666666666,FR11H,15888,Carplate,2,FR,H,5,1,1,No,14,5,0,12,4,1
135,11,F,12554.666666666666,FY11R,15888,Carplate,2,FY,R,5,1,1,No,8,5,0,12,4,1
136,11,F,12554.666666666666,FBM11B,5888,Carplate,2,FBM,B,6,1,1,No,19,5,0,5,2,1
137,11,S,33335.875,SDG11J,55000,Carplate,2,SDG,J,6,1,1,No,13,18,0,18,10,1
138,11,S,33335.875,SGB11A,46888,Carplate,2,SGB,A,6,1,1,No,1,18,0,17,9,1
139,11,S,33335.875,SMJ11L,40000,Carplate,2,SMJ,L,6,1,1,No,11,18,0,16,8,1
140,11,S,33335.875,SDG11J,29111,SGCarMart,2,SDG,J,6,1,1,No,13,18,0,15,7,1
141,11,S,33335.875,SGW11P,28000,Carplate,2,SGW,P,6,1,1,No,9,18,0,15,7,1
142,11,S,33335.875,SMW11T,23888,Carplate,2,SMW,T,6,1,1,No,6,18,0,15,6,1
143,11,S,33335.875,SLV11K,23800,CarPlateMart,2,SLV,K,6,1,1,No,12,18,0,15,6,1
144,11,S,33335.875,SDY11P,20000,CarPlateMart,2,SDY,P,6,1,1,No,9,18,0,14,5,1
145,12,A,25000.0,AG12S,25000,Carplate,2,AG,S,5,0,0,No,7,0,0,15,6,1
146,12,S,24444.0,SJJ12U,28888,Carplate,2,SJJ,U,6,0,0,No,5,18,0,15,7,1
147,12,S,24444.0,SME12K,20000,CarPlateMart,2,SME,K,6,0,0,No,12,18,0,14,5,1
148,13,F,9888.0,FV13B,9888,Carplate,2,FV,B,5,0,0,No,19,5,0,9,3,1
149,13,G,8800.0,GX13D,8800,Carplate,2,GX,D,5,0,0,No,17,6,0,8,3,1
150,13,S,63120.0,SY13G,220000,CarPlateMart,2,SY,G,5,0,0,No,15,18,0,24,19,1
151,13,S,63120.0,SCR13H,30000,Carplate,2,SCR,H,6,0,0,No,14,18,0,15,7,1
152,13,S,63120.0,SFM13Z,28000,CarPlateMart,2,SFM,Z,6,0,0,No,2,18,0,15,7,1
153,13,S,63120.0,SME13H,19800,CarPlateMart,2,SME,H,6,0,0,No,14,18,0,14,5,1
154,13,S,63120.0,SDW13U,17800,CarPlateMart,2,SDW,U,6,0,0,No,5,18,0,13,5,1
155,14,E,58888.0,EG14P,58888,Carplate,2,EG,P,5,0,0,No,9,4,1,18,10,1
156,14,S,10844.0,SBT14G,18888,SGCarMart,2,SBT,G,6,0,0,No,15,18,0,14,5,1
157,14,S,10844.0,SNC14D,8888,Carplate,2,SNC,D,6,0,0,No,17,18,0,8,3,1
158,14,S,10844.0,SJA14L,8800,Carplate,2,SJA,L,6,0,0,No,11,18,0,8,3,1
159,14,S,10844.0,SMJ14D,6800,SGCarMart,2,SMJ,D,6,0,0,No,17,18,0,6,2,1
160,15,F,10000.0,FJ15J,10000,Carplate,2,FJ,J,5,0,0,No,13,5,0,9,3,1
161,15,G,5388.0,GBH15S,6888,Carplate,2,GBH,S,6,0,0,No,7,6,0,6,2,1
162,15,G,5388.0,GBD15M,3888,Carplate,2,GBD,M,6,0,0,No,10,6,0,3,1,1
163,15,S,15633.0,SFG15A,11800,CarPlateMart,2,SFG,A,6,0,0,No,1,18,0,10,4,1
164,15,S,15633.0,SDX15J,19888,Carplate,2,SDX,J,6,0,0,No,13,18,0,14,5,1
165,15,S,15633.0,SNE15R,18000,SGCarMart,2,SNE,R,6,0,0,No,8,18,0,13,5,1
166,15,S,15633.0,SDJ15H,18000,CarPlateMart,2,SDJ,H,6,0,0,No,14,18,0,13,5,1
167,15,S,15633.0,SCJ15U,15888,Carplate,2,SCJ,U,6,0,0,No,5,18,0,12,4,1
168,15,S,15633.0,SKT15Y,15888,CarPlateMart,2,SKT,Y,6,0,0,No,3,18,0,12,4,1
169,15,S,15633.0,SKH15K,13800,Carplate,2,SKH,K,6,0,0,No,12,18,0,11,4,1
170,15,S,15633.0,SFG15A,11800,SGCarMart,2,SFG,A,6,0,0,No,1,18,0,10,4,1
171,16,E,98000.0,EX16U,98000,Carplate,2,EX,U,5,0,0,No,5,4,1,22,14,1
172,16,G,4800.0,GBL16T,4800,Carplate,2,GBL,T,6,0,0,No,6,6,0,4,2,1
173,16,S,17388.0,SMV16K,17888,Carplate,2,SMV,K,6,0,0,No,12,18,0,13,5,1
174,16,S,17388.0,SMZ16P,16888,SGCarMart,2,SMZ,P,6,0,0,No,9,18,0,13,5,1
175,17,S,18757.4,SMX17Y,28000,CarPlateMart,2,SMX,Y,6,0,0,No,3,18,0,15,7,1
176,17,S,18757.4,SGB17J,20000,SGCarMart,2,SGB,J,6,0,0,No,13,18,0,14,5,1
177,17,S,18757.4,SGK17L,20000,CarPlateMart,2,SGK,L,6,0,0,No,11,18,0,14,5,1
178,17,S,18757.4,SBK17X,17000,CarPlateMart,2,SBK,X,6,0,0,No,4,18,0,13,5,1
179,17,S,18757.4,SKE17X,8787,SGCarMart,2,SKE,X,6,0,0,No,4,18,0,8,3,1
180,18,G,12888.0,GK18J,12888,Carplate,2,GK,J,5,0,0,Yes,13,6,0,11,4,1
181,18,S,36224.0,SJZ18U,24800,CarPlateMart,2,SJZ,U,6,0,0,Yes,5,18,0,15,6,1
182,18,S,36224.0,SAK18E,89000,Carplate,2,SAK,E,5,0,0,Yes,16,18,0,21,13,1
183,18,S,36224.0,SGG18E,41888,Carplate,2,SGG,E,6,0,0,Yes,16,18,0,17,8,1
184,18,S,36224.0,SBF18U,40000,CarPlateMart,2,SBF,U,6,0,0,Yes,5,18,0,16,8,1
185,18,S,36224.0,SGA18L,35000,Carplate,2,SGA,L,6,0,0,Yes,11,18,0,16,8,1
186,18,S,36224.0,SBJ18Z,31888,Carplate,2,SBJ,Z,6,0,0,Yes,2,18,0,16,7,1
187,18,S,36224.0,SKQ18E,29888,SGCarMart,2,SKQ,E,6,0,0,Yes,16,18,0,15,7,1
188,18,S,36224.0,SJZ18U,25888,Carplate,2,SJZ,U,6,0,0,Yes,5,18,0,15,6,1
189,18,S,36224.0,SJZ18U,25000,SGCarMart,2,SJZ,U,6,0,0,Yes,5,18,0,15,6,1
190,18,S,36224.0,SLG18X,18888,Carplate,2,SLG,X,6,0,0,Yes,4,18,0,14,5,1
191,19,E,89000.0,EY19G,128000,Carplate,2,EY,G,5,0,0,No,15,4,1,23,15,1
192,19,E,89000.0,EH19X,50000,Carplate,2,EH,X,5,0,0,No,4,4,1,17,9,1
193,19,F,3888.0,FBN19A,3888,Carplate,2,FBN,A,6,0,0,No,1,5,0,3,1,1
194,19,S,21581.0,SND19K,17800,CarPlateMart,2,SND,K,6,0,0,No,12,18,0,13,5,1
195,19,S,21581.0,SLN19G,28000,Carplate,2,SLN,G,6,0,0,No,15,18,0,15,7,1
196,19,S,21581.0,SBR19D,25888,SGCarMart,2,SBR,D,6,0,0,No,17,18,0,15,6,1
197,19,S,21581.0,SLD19J,19999,Carplate,2,SLD,J,6,0,0,No,13,18,0,14,5,1
198,19,S,21581.0,SCX19K,19999,CarPlateMart,2,SCX,K,6,0,0,No,12,18,0,14,5,1
199,19,S,21581.0,SND19K,17800,SGCarMart,2,SND,K,6,0,0,No,12,18,0,13,5,1
200,20,E,100000.0,EY20B,100000,Carplate,2,EY,B,5,0,0,No,19,4,1,22,14,1
201,20,F,3888.0,FBN20U,3888,Carplate,2,FBN,U,6,0,0,No,5,5,0,3,1,1
202,20,S,21835.2,SBK20K,50000,Carplate,2,SBK,K,6,0,0,No,12,18,0,17,9,1
203,20,S,21835.2,SDM20B,38000,CarPlateMart,2,SDM,B,6,0,0,No,19,18,0,16,8,1
204,20,S,21835.2,SML20A,20888,SGCarMart,2,SML,A,6,0,0,No,1,18,0,15,5,1
205,20,S,21835.2,SKT20G,18000,Carplate,2,SKT,G,6,0,0,No,15,18,0,13,5,1
206,20,S,21835.2,SKT20G,18000,CarPlateMart,2,SKT,G,6,0,0,No,15,18,0,13,5,1
207,20,S,21835.2,SND20E,16888,SGCarMart,2,SND,E,6,0,0,No,16,18,0,13,5,1
208,20,S,21835.2,SJG20L,16000,CarPlateMart,2,SJG,L,6,0,0,No,11,18,0,12,4,1
209,20,S,21835.2,SNB20R,15888,SGCarMart,2,SNB,R,6,0,0,No,8,18,0,12,4,1
210,20,S,21835.2,SJG20L,13800,Carplate,2,SJG,L,6,0,0,No,11,18,0,11,4,1
211,20,S,21835.2,SGU20Z,10888,Carplate,2,SGU,Z,6,0,0,No,2,18,0,10,3,1
212,21,S,20472.0,SJX21U,25000,Carplate,2,SJX,U,6,0,0,No,5,18,0,15,6,1
213,21,S,20472.0,SFX21S,23888,Carplate,2,SFX,S,6,0,0,No,7,18,0,15,6,1
214,21,S,20472.0,SML21Y,18000,CarPlateMart,2,SML,Y,6,0,0,No,3,18,0,13,5,1
215,21,S,20472.0,SGN21H,15000,Carplate,2,SGN,H,6,0,0,No,14,18,0,12,4,1
216,22,A,30800.0,AX22Z,30800,Carplate,2,AX,Z,5,1,1,No,2,0,0,16,7,1
217,22,S,93037.27272727272,SL22Z,350000,Carplate,2,SL,Z,5,1,1,No,2,18,0,25,22,1
218,22,S,93037.27272727272,SL22Z,268800,SGCarMart,2,SL,Z,5,1,1,No,2,18,0,24,20,1
219,22,S,93037.27272727272,SV22X,238000,SGCarMart,2,SV,X,5,1,1,No,4,18,0,24,20,1
220,22,S,93037.27272727272,SDQ22A,25888,Carplate,2,SDQ,A,6,1,1,No,1,18,0,15,6,1
221,22,S,93037.27272727272,SMQ22T,23300,SGCarMart,2,SMQ,T,6,1,1,No,6,18,0,15,6,1
222,22,S,93037.27272727272,SNC22E,22222,Carplate,2,SNC,E,6,1,1,No,16,18,0,15,6,1
223,22,S,93037.27272727272,SND22A,22000,SGCarMart,2,SND,A,6,1,1,No,1,18,0,15,6,1
224,22,S,93037.27272727272,SFP22G,18800,SGCarMart,2,SFP,G,6,1,1,No,15,18,0,14,5,1
225,22,S,93037.27272727272,SDL22B,18800,CarPlateMart,2,SDL,B,6,1,1,No,19,18,0,14,5,1
226,22,S,93037.27272727272,SFP22G,18800,CarPlateMart,2,SFP,G,6,1,1,No,15,18,0,14,5,1
227,22,S,93037.27272727272,SMZ22X,16800,SGCarMart,2,SMZ,X,6,1,1,No,4,18,0,13,5,1
228,23,F,5000.0,FW23S,5000,Carplate,2,FW,S,5,0,0,No,7,5,0,4,2,1
229,23,S,21258.333333333332,SLL23D,28999,SGCarMart,2,SLL,D,6,0,0,No,17,18,0,15,7,1
230,23,S,21258.333333333332,SGZ23P,23888,Carplate,2,SGZ,P,6,0,0,No,9,18,0,15,6,1
231,23,S,21258.333333333332,SFX23L,10888,Carplate,2,SFX,L,6,0,0,No,11,18,0,10,3,1
232,24,A,25000.0,AM24B,25000,Carplate,2,AM,B,5,0,0,No,19,0,0,15,6,1
233,24,S,11888.0,SMN24D,18888,SGCarMart,2,SMN,D,6,0,0,No,17,18,0,14,5,1
234,24,S,11888.0,SGX24Y,12888,Carplate,2,SGX,Y,6,0,0,No,3,18,0,11,4,1
235,24,S,11888.0,SBL24U,8888,Carplate,2,SBL,U,6,0,0,No,5,18,0,8,3,1
236,24,S,11888.0,SJW24S,6888,Carplate,2,SJW,S,6,0,0,No,7,18,0,6,2,1
